               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
68,0.021592,0.0047843,0.00050527,0.90399,0.98036,0.96069,0.58613,0.029133,0.0042934,0.00039364,0.003367,0.003367,0.003367
69,0.021437,0.00467,0.00049595,0.91193,0.96667,0.96667,0.59725,0.027912,0.004264,0.00033654,0.003268,0.003268,0.003268
70,0.022247,0.0046147,0.00054962,0.90052,0.97022,0.96647,0.58088,0.028264,0.0042451,0.00032452,0.003169,0.003169,0.003169
71,0.021291,0.0046611,0.00038212,0.90022,0.97645,0.96011,0.58866,0.027876,0.0041566,0.00034094,0.00307,0.00307,0.00307
72,0.019851,0.0047252,0.00061513,0.91679,0.99885,0.97108,0.59198,0.027637,0.0041641,0.00032071,0.002971,0.002971,0.002971
73,0.020905,0.004723,0.00040906,0.9041,0.98333,0.96206,0.575,0.028399,0.0041669,0.00033436,0.002872,0.002872,0.002872
74,0.020921,0.0047451,0.00046837,0.88823,0.98333,0.96153,0.58018,0.028273,0.0041942,0.0003339,0.002773,0.002773,0.002773
75,0.021379,0.0047178,0.00044988,0.90391,0.98333,0.96382,0.57711,0.028312,0.0041642,0.00028855,0.002674,0.002674,0.002674
76,0.020608,0.0048254,0.00041485,0.90388,0.98333,0.96291,0.59041,0.02781,0.0041188,0.00026207,0.002575,0.002575,0.002575
77,0.020409,0.0047575,0.00051611,0.90017,0.98224,0.95258,0.57422,0.028577,0.0041687,0.00027554,0.002476,0.002476,0.002476
78,0.019813,0.004477,0.00085553,0.90141,0.98184,0.95715,0.5632,0.028901,0.0041688,0.00035111,0.002377,0.002377,0.002377
79,0.019887,0.0046496,0.00044349,0.90288,0.96877,0.95075,0.5588,0.028887,0.0042999,0.00031966,0.002278,0.002278,0.002278
80,0.020504,0.0045802,0.00036866,0.91229,0.98496,0.9679,0.57486,0.028535,0.004271,0.0003035,0.002179,0.002179,0.002179
81,0.019998,0.0044689,0.00055204,0.88824,0.9816,0.95525,0.56736,0.029737,0.0042062,0.000301,0.00208,0.00208,0.00208
82,0.020285,0.0044867,0.000371,0.9166,0.98234,0.97112,0.58279,0.028654,0.0042223,0.00033069,0.001981,0.001981,0.001981
83,0.019705,0.0046984,0.00034971,0.90116,0.97624,0.95883,0.59176,0.028399,0.004223,0.00030011,0.001882,0.001882,0.001882
84,0.019072,0.0045771,0.00034564,0.90089,0.98061,0.96057,0.58001,0.028802,0.0042216,0.00026677,0.001783,0.001783,0.001783
85,0.019159,0.0046663,0.00038617,0.90184,0.9818,0.95803,0.57039,0.028638,0.0042133,0.00024557,0.001684,0.001684,0.001684
86,0.019066,0.0043281,0.00035355,0.90347,0.95819,0.96063,0.56747,0.029394,0.0042749,0.0002292,0.001585,0.001585,0.001585
87,0.019188,0.0045243,0.00046665,0.89854,0.98189,0.95927,0.58112,0.028781,0.0042268,0.00022522,0.001486,0.001486,0.001486
88,0.018625,0.0044499,0.00038245,0.91243,0.99852,0.97169,0.57698,0.0287,0.0041993,0.00023874,0.001387,0.001387,0.001387
89,0.018328,0.0047048,0.00031133,0.90248,0.96667,0.95472,0.57304,0.028616,0.0042812,0.00022623,0.001288,0.001288,0.001288
90,0.018483,0.0044779,0.00027069,0.90109,0.96667,0.95544,0.57402,0.028427,0.0042729,0.00021868,0.001189,0.001189,0.001189
91,0.018194,0.004568,0.00031277,0.89888,0.96667,0.95639,0.57054,0.028376,0.0042452,0.00021584,0.00109,0.00109,0.00109
92,0.01875,0.0045073,0.00027393,0.89974,0.96667,0.95532,0.57994,0.028352,0.0042253,0.00020825,0.000991,0.000991,0.000991
93,0.01822,0.0043406,0.00027582,0.91571,0.98333,0.96955,0.57874,0.028355,0.0042218,0.00020213,0.000892,0.000892,0.000892
94,0.018422,0.0041321,0.00030713,0.91548,0.98333,0.97321,0.58077,0.028691,0.0042499,0.00019631,0.000793,0.000793,0.000793
95,0.017533,0.0045902,0.00030635,0.90031,0.96667,0.95887,0.57441,0.028054,0.0042766,0.00018587,0.000694,0.000694,0.000694
96,0.017725,0.0042668,0.00026932,0.90009,0.96667,0.96007,0.58848,0.0284,0.0042776,0.00017625,0.000595,0.000595,0.000595
97,0.017855,0.004484,0.0003452,0.9008,0.96667,0.95849,0.5773,0.028227,0.004292,0.0001738,0.000496,0.000496,0.000496
98,0.01757,0.0044225,0.00026129,0.90103,0.96667,0.95684,0.5692,0.028847,0.0043266,0.00017186,0.000397,0.000397,0.000397
99,0.017396,0.0043689,0.00021663,0.90121,0.96667,0.95623,0.56886,0.028764,0.0043166,0.00016869,0.000298,0.000298,0.000298
